feature,importance,fold
hist_category_2_1_sum,2.40186902703802,4
hist_month_lag_var,2.4012898407287047,2
hist_purchase_date_uptomin,2.400944998545027,3
hist_month_lag_skew,2.4004300104815335,4
hist_purchase_amount_skew,2.399896693790534,5
new_price_sum,2.3996400553202433,3
new_price_min,2.3996339697090017,5
new_duration_var,2.3987350611405387,3
new_price_sum,2.3977024066532966,1
hist_weekday_mean,2.39748961775265,1
hist_merchant_id_nunique,2.397105272175522,2
hist_hour_mean,2.396861239031506,1
hist_purchase_date_average,2.3968465737799085,3
hist_purchase_amount_skew,2.396138141328268,1
hist_duration_max,2.3952274545817436,5
card_id_total,2.3945011937072507,1
hist_category_3_mean_mean,2.3932012832457334,3
new_last_buy,2.3922361252186524,4
hist_price_var,2.3917954350400583,1
new_month_mean,2.3917849865862637,2
hist_price_var,2.3912625305835156,5
month_lag_mean,2.3897049956985823,3
hist_day_nunique,2.38955048946299,3
new_purchase_amount_max,2.3892599086525035,3
hist_purchase_date_average,2.388157965725657,1
hist_day_mean,2.3876010270294357,5
hist_day_mean,2.38756458955684,1
new_first_buy,2.387558394059101,3
card_id_cnt_ratio,2.38662133873889,5
hist_price_min,2.385902060934422,4
new_purchase_amount_max,2.3858430721564563,5
new_amount_month_ratio_var,2.3857011672803643,5
new_hour_mean,2.3852459032538005,1
hist_amount_month_ratio_skew,2.385130808539727,1
hist_weekday_mean,2.3847908707996597,3
hist_price_min,2.384092567315332,3
new_last_buy,2.3840313342053836,2
hist_hour_nunique,2.383605182129655,2
hist_merchant_category_id_nunique,2.3808431292447496,5
hist_amount_month_ratio_min,2.3807706908795985,2
month_diff_ratio,2.380325491567954,5
hist_hour_mean,2.379940189652003,2
card_id_total,2.379531351227238,5
hist_month_diff_var,2.378884163658708,5
new_amount_month_ratio_var,2.378823705087715,2
new_price_min,2.377245133326733,3
new_amount_month_ratio_max,2.3771599391326577,4
new_month_var,2.376751246588227,2
hist_duration_skew,2.376616664121071,1
hist_duration_max,2.3759363665012763,4
new_month_var,2.3754464974400102,1
card_id_total,2.374828934590235,2
card_id_cnt_ratio,2.374567095212259,1
new_amount_month_ratio_max,2.3744223531167856,1
hist_weekday_mean,2.3735924861335023,2
hist_amount_month_ratio_mean,2.3733747653822865,3
hist_hour_mean,2.3733579064909107,3
new_amount_month_ratio_var,2.372934566381096,1
hist_month_diff_skew,2.3728001594774426,1
hist_price_max,2.3722451222524166,4
card_id_total,2.3719395279278412,3
hist_purchase_amount_sum,2.371879606029429,5
hist_purchase_amount_min,2.3713597343861594,4
hist_amount_month_ratio_skew,2.3705097896655025,4
card_id_total,2.3703986605808947,4
new_purchase_amount_var,2.3697236750038058,2
hist_duration_skew,2.369355742124141,4
hist_purchase_amount_min,2.368584022203502,5
hist_duration_min,2.367373643511523,4
month_diff_mean,2.36705839318266,4
hist_month_var,2.3663858258496604,3
new_price_sum,2.3662179776825525,2
hist_purchase_amount_skew,2.366150325416128,3
new_month_var,2.36582038174964,5
hist_category_3_mean_mean,2.365697765094496,4
new_duration_min,2.3649361671123894,3
hist_CLV,2.364536888383938,5
hist_last_buy,2.364385308671005,5
new_hour_mean,2.36380181546669,4
hist_amount_month_ratio_skew,2.363788605963534,5
hist_installments_skew,2.363515773100189,5
hist_price_min,2.3632245632049833,2
hist_purchase_amount_sum,2.3630373703277923,1
price_mean,2.3623862907888635,1
new_weekofyear_min,2.36172576590264,1
hist_month_lag_var,2.3612670379886445,3
hist_purchase_amount_skew,2.3607409999842925,4
hist_price_max,2.359338465216851,1
hist_month_lag_skew,2.3578135042759305,2
new_month_lag_var,2.3566786522166336,1
month_diff_mean,2.3564530120345855,5
hist_duration_max,2.3558231301355645,3
hist_amount_month_ratio_skew,2.3551029677921655,3
hist_month_var,2.3549752605206073,4
hist_price_var,2.3542439665023354,4
hist_CLV,2.3537857314306416,3
hist_month_diff_skew,2.3536112744677413,5
CLV_ratio,2.353439998526895,3
hist_installments_var,2.3533084370208557,5
hist_category_3_mean_mean,2.352973220729381,2
