feature,importance,fold
hist_price_min,2.490585889397802,2
hist_weekday_var,2.4892560565832214,4
hist_weekofyear_var,2.4881199863738095,1
rate_lag6_var,2.487795799318658,4
hist_month_diff_var,2.4875234401421977,1
hist_weekend_mean,2.4874639977291624,3
hist_month_var,2.486840002439548,5
new_category_1_mean,2.486835821459919,2
rate_lag12_max,2.486723399454082,4
hist_purchase_amount_mean,2.4863165732327164,4
hist_month_diff_skew,2.485985769581619,1
hist_last_buy,2.4858528001236295,3
hist_weekday_var,2.4858120547966958,5
hist_price_var,2.4856268311356327,4
new_month_mean,2.4855023693623783,3
hist_month_lag_var,2.4852316016518294,5
hist_installments_skew,2.48521723534279,1
hist_weekday_var,2.4846183091707252,3
hist_merchant_category_id_nunique,2.484612546131523,4
hist_month_diff_var,2.48365968463514,2
hist_purchase_amount_mean,2.4824344494259107,3
rate_lag12_var,2.481740423367708,4
hist_first_buy,2.481660943745116,2
hist_weekend_mean,2.4815146532835666,1
hist_purchase_amount_min,2.4809477330910252,2
hist_purchase_amount_sum,2.4808189245986303,4
rate_lag12_mean,2.4807768280234006,1
CLV_ratio,2.4807587929332433,4
month_diff_ratio,2.4807244324638877,4
rate_lag12_mean,2.4789241591804116,5
hist_price_mean,2.4786682405553697,3
hist_last_buy,2.4785736816134416,2
rate_lag12_max,2.4781569642328654,5
rate_lag3_max,2.477654515720895,4
hist_CLV,2.4771214185974153,4
rate_lag3_mean,2.4769034854110767,5
new_category_1_mean,2.476835337081952,1
hist_month_var,2.4764404504119066,4
hist_purchase_date_average,2.476223773120392,3
hist_price_var,2.4761797741031026,5
rate_lag6_var,2.4756828361307184,1
rate_lag12_max,2.4755714045909283,1
new_price_sum,2.4755263379322394,1
hist_weekofyear_var,2.475352299758,2
hist_price_max,2.474324583855666,1
hist_weekend_mean,2.4740084855057742,2
hist_price_min,2.4735265650066642,1
rate_lag3_mean,2.4734937230664396,1
rate_lag3_mean,2.473070229937219,3
hist_price_mean,2.472747184109127,5
new_price_sum,2.4724722975967537,4
rate_lag6_mean,2.4722050526416175,1
rate_lag6_var,2.472045755453951,5
new_purchase_date_average,2.4719303269311697,1
hist_installments_var,2.4713858068722194,3
hist_purchase_date_average,2.4713490762106365,5
hist_merchant_id_nunique,2.471335338789646,1
hist_purchase_amount_max,2.4711374114084323,4
price_mean,2.4708646844278004,4
month_lag_mean,2.469083152705783,3
hist_price_mean,2.4685696612908066,2
rate_lag12_sum,2.4671732025030133,4
month_lag_mean,2.4647737774382685,5
rate_lag6_max,2.4647546900587507,3
hist_purchase_amount_var,2.464489482100558,4
hist_installments_mean,2.463142638905729,2
CLV_ratio,2.4629746276158526,3
hist_price_max,2.4629281857407763,5
hist_purchase_amount_var,2.462576427208065,1
hist_installments_skew,2.462519905339552,4
hist_purchase_amount_mean,2.4625144168643147,5
hist_price_var,2.462204414018916,1
rate_lag6_sum,2.4620677114454717,2
rate_lag3_sum,2.4619842081224133,5
